ID,月,"発生
時間",災害状況,業種(大分類)コード,業種(大分類),業種(中分類)コード,業種(中分類),業種(小分類)コード,業種(小分類),事故の型
20,12,16～17,被災者は帰社後、一人でダンプの荷台から木柱を降ろしていた。同僚が敷地内の別の場所で作業していたところ、被災者の声を聞いた。声のした方を見ると、被災者がダンプの横の地面に倒れていた。病院に搬送されたものの、後日死亡した。,3,建設業,303,その他の建設業,30301,電気通信工事業,墜落、転落
21,12,12～13,被災者は、下り車線において、高速道路上の工事に伴う車線制限誘導作業を北に向かって行っていたところ、南から同僚の運転する２トントラックが後退し、それに轢かれた。その後、病院に搬送されたが、出血性ショックにより死亡した。,17,その他の事業,1702,その他の事業,170201,警備業,激突され
22,12,10～11,平屋建ての個人住宅（最大Ｈ＝４．５ｍ）の屋根上で、１人で屋根の袖（妻面側のふち）の屋根瓦の交換作業を行っていたところ、高さ約３．２ｍの位置から地面まで墜落した。会社では日常的には安全帯等の墜落防止措置を取っていなかった。なお、一人作業での墜落災害であり、墜落時の詳細は不明。,3,建設業,302,建築工事業,30209,その他の建築工事業,墜落、転落
23,12,4～5,スリッターで切断したコイル材を、リコイラーから降ろそうと同僚が操作を行ったことにより、コイル材を支持しているアームが動き出し、被災者は、リコイラー本体とアームとの間に頸部を挟まれ死亡したもの。被災者はコイル材を外した際にコイル材が転がり落ちることを防止する支柱をコイル材の周りに取り付けるため、床に置かれていた支柱を持ち上げようとしゃがみ、アームの稼働範囲に入ってしまったもの。,1,製造業,110,鉄鋼業,11009,その他の鉄鋼業,はさまれ、巻き込まれ
24,12,18～19,自動車専用道路（制限速度７０ｋｍ／ｈの対面通行）の直線部分で、被災者が運転する２トントラックがセンターラインを越えて右側反対車線へはみ出し対向車と接触。その後、自車線左側のガードレールに車体を擦りながら逸走した後、道路左側のガードレールを突き破って約５メートル下の山林に転落し、胸などを強く打って死亡した。,4,運輸交通業,403,道路貨物運送業,40301,一般貨物自動車運送業,交通事故（道路）
25,12,14～15,被災者は、屋内開閉所（発電所と送電線を接続する箇所で開閉器等が設置されている）で２号線（３相２７５ＫＶ停止中）の１相分に設置されている避雷器の絶縁抵抗を測定していたものだが、接地線（アース）が接続されていると正確に測定できないことから、屋外へ出て１相分の接地線を素手で外していたところ、感電し火傷を負って死亡した。なお、被災時、隣の１号線（３相２７５ＫＶ）は受電状態となっていた。,3,建設業,303,その他の建設業,30309,その他の建設業－その他,感電
26,12,8～9,被災者は、傾斜４５度の地山で立木に安全標識を取り付けようとして足を滑らせ、地山を約５０メートル転落した。,3,建設業,301,土木工事業,30108,砂防工事業,墜落、転落
27,12,8～9,ペットボトル選別作業場内にあるスクリューコンベアに挟まれている被災者を同僚が発見したもの,1,製造業,117,その他の製造業,11709,その他の製造業－その他,はさまれ、巻き込まれ
28,12,18～19,国外の出張先において、客先での打ち合わせのため、現地の法人の運転者が運転する車両の助手席に同乗し、移動を行っていた。高速道路上を走行中、センターラインをはみ出してきた対向車両（バス）と正面衝突したもの。病院に搬送されたが、（同乗の運転者とともに）死亡が確認された。,3,建設業,302,建築工事業,30209,その他の建築工事業,交通事故（道路）
29,12,10～11,工場に設置されているスクリューコンベヤー付近の清掃作業中、不意に動き出したスクリューコンベヤーに両大腿部付近まで巻き込まれた。,1,製造業,109,土石製品製造業,10901,セメント・同製品製造業,はさまれ、巻き込まれ
30,12,8～9,ドライアイスの製造工場にて、自動包装用産業用ロボットを用いて、角形のドライアイスの梱包作業を行っていたところ、産業用ロボットのアームとドライアイスに被災者が挟まれ、同日死亡したもの。,1,製造業,117,その他の製造業,11709,その他の製造業－その他,はさまれ、巻き込まれ
31,12,0～1,代行運転で、被災者が随伴用の軽自動車を運転し、同僚が運転する客の自動車の後ろを付いて走っていたところ、道路脇の縁石に乗り上げ、街路樹に衝突し、胸等を強く打つ等して死亡した。道路にブレーキ痕はなかった。事故現場は片側１車線の直線であった。,17,その他の事業,1702,その他の事業,170209,その他の事業－その他,交通事故（道路）
32,12,14～15,民有林内において、杉の間伐作業を実施。杉立木を伐倒したところ、伐倒予定方向が狂い６ｍ離れた杉立木にかかり木となった。このかかり木を外すため、山側の杉立木を浴びせ倒しにより外そうとしたところ、さらにかかり木となったため、２本かかられた杉立木（胸高直径５７ｃｍ、樹高約３０ｍ）を伐倒して、かかり木を外そうと、受け口のあと、追い口を入れていたとき、２本のかかり木が被災者に倒れて全身打撲により死亡した。,6,農林業,602,林業,60201,木材伐出業,崩壊、倒壊
33,12,10～11,橋梁の撤去工事現場において、河川水が工事箇所に流入することを防ぐため、工事箇所の周囲に盛土を行う作業中、ダンプカーを運転し、土砂を運搬する作業に従事していた被災者がダンプカーの荷台を上げ、土砂を降ろした後、撤去予定の橋桁の下方を通過しようとした際、ダンプカーの荷台が上がったままであったため、荷台が橋桁に激突した後、橋桁がダンプカーの運転席に落下し、同日、被災者の死亡が確認された。,3,建設業,301,土木工事業,30105,橋梁建設工事業,激突
34,12,8～9,被災者を含む４名で、個人宅（木建）の解体作業を行っていたところ、土壁が倒壊し、被災者１名が下敷きとなり、心破裂により死亡に至ったもの。,3,建設業,302,建築工事業,30209,その他の建築工事業,崩壊、倒壊
35,12,10～11,社長が車両積載型トラッククレーンを操作し産業廃棄物のコンテナを吊り上げて移動させた後、被災者は社長の指示により玉掛けフックを付け替えようと梯子を移動させていたところ、そのコンテナが倒壊し下敷きになったもの。,15,清掃・と畜業,1501,清掃・と畜業,150102,産業廃棄物処理業,崩壊、倒壊
36,12,8～9,林内道路の舗装現場（道路幅約３ｍ、道路勾配約１８％）において、生コンクリートの荷卸し作業のためにミキサー車（アジテータ・トラック）を駐車し、被災者が運転席から降りて後方のステップに上がっていた際に車両が動き出した。運転席は無人で、停車させることができなかったことから車両は山肌に乗り上げ横転し、被災者は車両の下敷きとなった。,1,製造業,109,土石製品製造業,10901,セメント・同製品製造業,激突され
37,12,22～23,紙の製造作業において、不良製品が発生したため、抄紙機（原料から紙を製造する機械）のプレスパート（濡紙をフェルトを用いてプレスで脱水する工程）の地下１階部分を点検していたところ、フェルトを送るローラーと鉄製の吸水棒の間に挟まれたもの。,1,製造業,106,パルプ・紙・紙加工品製造業,10601,パルプ・紙製造業,はさまれ、巻き込まれ
38,12,12～13,３泊４日の取引先への営業回りのため、労働者が社用車で本社を出発し、営業所所属の被災者と合流し取引先をいくつか訪問した。取引先へ向かう途中の道路上で、自車がスリップして対向車線にはみ出し、対向車線を走行していたタンクローリーに正面衝突した。助手席にいた営業所所属の労働者は死亡、運転していた本社所属労働者も骨折した。,1,製造業,112,金属製品製造業,11209,その他の金属製品製造業,交通事故（道路）
39,12,21～22,被災者は、フォークリフトを用いて屋外に置かれていた、ペレット原料の運搬作業に従事していた。製造作業場所に戻ってこなかったので、同僚が探したところ、ペレットの入っていたフレコンバック（約１トン）の下敷きなっていたところを発見されたもの。,1,製造業,108,化学工業,10805,プラスチック製品製造業,崩壊、倒壊
40,12,14～15,トラックに架設ベント材（５０×５０×５００ｃｍ、重量７６４ｋｇ）を積み込む作業を行っていた。移動式クレーンを用いて３列３段に下から順に積み込み、最後のベント材の玉掛け用ワイヤロープをベント材から外す際、クレーンを巻き上げることにより玉掛け用ワイヤロープをベント材から抜いたため、玉掛け用ワイヤロープがベント材に引っかかりベント材が２．５ｍ落下し、被災者に当たった。,3,建設業,301,土木工事業,30105,橋梁建設工事業,飛来、落下
41,12,12～13,被災者は、事業場敷地内で伐倒した杉の枝払いをしていたが、杉と地面の間に頭部を挟まれた状態で発見されたもの。,1,製造業,117,その他の製造業,11709,その他の製造業－その他,飛来、落下
42,12,10～11,個人宅敷地内にある立木（高さ７．５ｍ）を伐倒する作業を作業員２名で行っていたところ、被災者が倒れてきた立木の下敷きになり、骨盤部、頭部等を負傷し死亡したもの。,3,建設業,302,建築工事業,30209,その他の建築工事業,崩壊、倒壊
43,12,10～11,被災者は工事現場に向かうため、軽トラックに１人で乗り、会社を出発し、インターから自動車道を走行中、トンネル手前で対向車線にはみ出し、対向車線を走行していた乗用車に衝突、脳挫傷により死亡した。,3,建設業,303,その他の建設業,30301,電気通信工事業,交通事故（道路）
44,12,10～11,被災者は、移動式クレーンで吊った埋め戻し用土砂を入れたバケット（土砂運搬用の金属容器）を用い、掘削面の埋め戻し作業を行っていたが、当該バケットを吊り上げている途中、高さ１２メートルの場所で移動式クレーンのフックに取り付けられた補助吊り具に取り付けられた玉掛けワイヤーロープが外れて、バケットが地上に落下して跳ね、近くにいた被災者に激突したもの。,3,建設業,302,建築工事業,30201,鉄骨・鉄筋コンクリート造家屋建築工事業,激突され
45,12,14～15,石油ストーブの間近で、エタノールを使用し、椅子に座りながら製品の洗浄作業を行っていたところ、椅子に敷いてあった座布団がストーブに接触していたことから、座布団から身体に燃え移り、火傷を負ったもの。後日死亡が確認された。,1,製造業,112,金属製品製造業,11209,その他の金属製品製造業,火災
46,12,12～13,自動溶接機のロールに体がはさまれた状態で発見されたもの。被災者は溶接対象物（単管パイプ（長さ１１ｍ３０ｃｍ、直径６ｃｍ）６本を、それぞれの単管の間に棒状の板をはさみ、縦方向に溶接し、いかだ状となったもの）に激突された結果、転倒し、体が当該溶接対象物の上にのって、そのまま運ばれ、進行方向にあったロールに体がはさまれたものと推定される。,1,製造業,113,機械器具製造業,11301,機械（精密機械を除く）器具製造業,激突され
47,12,14～15,フォークリフトを用いて農業機械の運搬作業に従事していた労働者が、横倒しになった当該フォークリフトのフォークに頭部を激突され、死亡したもの。,8,商業,801,卸売業,80109,その他の卸売業,激突され
48,12,4～5,パレットに載せた段ボール製品をトラック荷台に積み込み、パレット積みの段ボールが搬送中に相互にぶつかって傷まないように、緩衝用として段ボールをかましていたところ、荷台の端から足を滑らせ墜落した。,4,運輸交通業,403,道路貨物運送業,40302,特定貨物自動車運送業,墜落、転落
49,12,21～22,横断歩道を歩行中に右方から走行してきた車に激突され死亡したもの。,8,商業,801,卸売業,80101,各種商品卸売業,交通事故（道路）
50,12,14～15,被災者と作業員Ａの２名はエアコンの取付工事を請け負い、発注者所有の脚立や三脚を使用し、地上から高さ約３．０メートルの位置に室外機の設置等を行っていたものであるが、３台中２台のエアコンの設置が終わり、作業員Ａが別の現場に向かい、被災者が単独で作業を進めていた時、被災者が建屋の前でうずくまっている姿を近隣住民が発見したものである。,3,建設業,302,建築工事業,30203,建築設備工事業,墜落、転落
51,12,14～15,被災者を探していた工場長が、工場内のバーナー室において、乾燥キルン付属の回転するホイールとバーナー発生装置の間に上半身を突っ込んだ状態の被災者を発見したもの。,1,製造業,117,その他の製造業,11709,その他の製造業－その他,はさまれ、巻き込まれ
52,12,12～13,被災者は、ワゴン車で国道の緩やかな左カーブを走行中、対向車線にはみ出し、車両が横向きになったところ、直進してきた対向車のタンクローリが車両助手席側に追突した。被災者は病院に搬送されたが、頭部出血、骨盤骨折、心臓動脈乖離による多臓器不全のため、後日死亡した。,8,商業,802,小売業,80209,その他の小売業,交通事故（道路）
53,12,8～9,搬入した建築資材の荷卸しをするため、被災者及び他の労働者１名が玉掛作業をするためにトラックの荷台に乗っていたところ、別会社に所属する労働者が運転する移動式クレーンでつり荷を地切りした際に、つり荷が水平方向に横ずれしたため、つり荷が被災者と接触し、荷台から墜落して負傷（頚髄損傷）し、病院で治療を受けていたが、後日死亡した。,4,運輸交通業,403,道路貨物運送業,40301,一般貨物自動車運送業,墜落、転落
54,12,12～13,木造平屋建ての音楽教室の手作業による解体中に、防音設備として設けられていた３．８８×３．４７ｍ四方のコンクリートブロックの壁部分が倒れて、当該壁の側で床の解体をしていた被災者が背中側から下敷きとなり、床材との間に挟まり被災した。災害発生当日の午前中に当該壁の周囲の木製柱と梁が解体され自立した状態であったが、突然倒れたもの。救出後、医療機関に搬送されたが、後日死亡した。,3,建設業,302,建築工事業,30202,木造家屋建築工事業,崩壊、倒壊
55,12,21～22,被災者は配送先に到着後、構内ホームに後進で５ｔトラック（箱型冷蔵冷凍車）を停車し、荷卸しのために下車してトラックの後ろ扉を開けたところ、トラックが動き出してトラックとホームの間に挟まれ死亡したもの。,4,運輸交通業,403,道路貨物運送業,40301,一般貨物自動車運送業,はさまれ、巻き込まれ
56,12,16～17,木造２階建て一般家屋の屋根補修のための昇降用くさび緊結式単管足場を被災者が一人で組み立てていたところ、足場の２層目（高さ約３．６メートル）付近から地上（コンクリート製の通路面）に墜落した。,3,建設業,302,建築工事業,30202,木造家屋建築工事業,墜落、転落
57,12,14～15,工場の壁に「火気厳禁」の看板を取り付け作業中にはしごから墜落したもの。（推定）物音で気がついた他の作業員が、床面に横たわっていた被災者を発見し、救急搬送されたが、入院先の病院で死亡した。,1,製造業,111,非鉄金属製造業,11102,非鉄金属鋳物業,墜落、転落
58,12,2～3,被災者が販売店から配達エリアへバイクで向かっていたところ、道路上の道路標識の支柱に激突した。,8,商業,802,小売業,80205,新聞販売業,交通事故（道路）
59,12,10～11,エアガンを用いて鶏舎内で羽毛を除去する清掃作業を行っていた被災者が、集卵エレベーター（以下コンベヤー）とコンベヤーとの間に取り付けられた動力伝達シャフ部分に、衣服、髪などが巻き込まれ意識不明の状態で発見された。その後、被災者は収容先の病院で死亡したもの。,7,畜産・水産業,701,畜産業,70101,畜産業,はさまれ、巻き込まれ
60,12,10～11,ログハウス（平屋建て）の屋根葺き作業において、屋根端部から約２．９ｍ下の地上に墜落し、頭部を強打したもの。負傷から１１日後に死亡。,3,建設業,302,建築工事業,30209,その他の建築工事業,墜落、転落
61,11,14～15,被災者は、２階建てアパートの屋根上で塗装作業を行っていたところ、屋根の端から足場作業床に墜落し、さらに作業床の手すりの下から地面まで墜落したもの（屋根の端から地面までの垂直高さ：約６．７ｍ）,3,建設業,303,その他の建設業,30309,その他の建設業－その他,墜落、転落
62,11,12～13,建築現場にて、地上からの高さ約３．１ｍのくさび式足場材で構成した一側ブラケット足場のブラケット（幅約４０ｃｍの作業床（布板））の上で躯体ベランダのペンキ塗装作業中、当該足場上で横たわるようにして倒れていたことが確認された後、地上からの高さ約０．８ｍのウッドデッキへ墜落し、さらに反動で地上へ墜落したもの。,3,建設業,302,建築工事業,30202,木造家屋建築工事業,墜落、転落
63,11,8～9,ビルの新築工事現場において、被災者は１１階エレベーターシャフト内の仮設デッキプレート上にてラス取付け作業中、仮設デッキプレートが未敷設の開口部分に敷かれていた養生シートを踏み抜き１階まで墜落した。,3,建設業,302,建築工事業,30201,鉄骨・鉄筋コンクリート造家屋建築工事業,墜落、転落
64,11,6～7,成形機の金型取替え作業中に、手すり付脚立（高さ約８０ｃｍ）から墜落し、踏面の下から２段目に足が引っ掛かった状態で発見されたもの。,1,製造業,114,電気機械器具製造業,11402,軽電機製造業,墜落、転落
65,11,14～15,つり上げ荷重７０ｔのクローラクレーンで、クランプ２個を用いてつり上げていたＨ型鋼杭（長さ２５ｍ、重さ４．６６ｔ）を斜面に仮置きするため、Ｈ型鋼杭の片側端部を斜面に着地させ、さらに巻き下げにて荷を下ろそうとしていたところ、クランプからＨ型鋼杭が外れて落下し、合図者である被災者がＨ型鋼杭と切株との間にはさまれ死亡したもの。なお、クランプ１個の許容荷重は１ｔであった。,3,建設業,301,土木工事業,30105,橋梁建設工事業,飛来、落下
66,11,14～15,構内（屋外）を徒歩で移動中に、後方から来たフォークリフトの左前輪に轢かれたもの。,1,製造業,115,輸送用機械等製造業,11501,造船業,激突され
67,11,10～11,被災者は胸高直径３０ｃｍ、高さ１６ｍの立木を伐倒するため、チェーンソーを用いて受け口と追い口を入れた後、２．７ｍ離れた西側にある立木の裏側に退避した。立木は予定した方向である北東側へ倒れ始めたが、立木の上部に絡まっていたつるにより倒れきらず、同僚労働者が木材グラップル機のグラップル装置の側面で軽く押したところ、立木の根元側が西側へ向かって滑走したため退避していた被災者は激突された。,3,建設業,301,土木工事業,30109,土地整理土木工事業,激突され
68,11,16～17,死亡した被災者は１階屋根の下地工事中、屋根上を移動していたときに、軒先で作業していた別の作業員と接触し、軒先から２．７５ｍ下のコンクリート地面に墜落し死亡した。,3,建設業,302,建築工事業,30202,木造家屋建築工事業,墜落、転落
69,11,12～13,被災者はトラクターを使用して田起こしの作業を行っていた。作業を終えた田の中から土手の上の農道へスロープ状の通路をトラクターで上り出ようとしたところ、左折途中でトラクターが脱輪し、トラクターごと土手から横転しながら滑落した。その際、地面にうつぶせに倒れこんだ被災者の上半身にトラクターが落下し、地面とトラクターのタイヤの間に挟まれたもの。,6,農林業,601,農業,60101,農業,墜落、転落
70,11,12～13,被災者は海上で浮沈式イケス（２０ｍ×２０ｍ）の周囲に設置されている浮き（６０ｃｍ×１２０ｃｍ）を清掃する作業をしていたが、同僚が被災者の姿が見当たらないことに気付き捜索したところ、作業場所のすぐ脇の海面にうつぶせで浮いている状態で発見されたもの。救出後病院に搬送され死亡が確認された。被災者は自身で紐を引っ張り膨張させるベルトタイプの救命胴衣を着用していたが発見の時救命胴衣は膨張していなかった。,7,畜産・水産業,702,水産業,70209,その他の水産業,おぼれ
71,11,10～11,信号のない交差点の横断歩道を横断中に直進してきたトラックにはねられた。,1,製造業,115,輸送用機械等製造業,11502,自動車・同付属品製造業,交通事故（道路）
72,11,12～13,既設送電鉄塔の点検保守作業後、アース（送電線を鉄塔に接地）取り外し作業を終えた被災者が鉄塔から地上に降りる際、約３０メートルの高さから墜落したもの。アース取り外し作業は被災者を含め２名で行われており、降下の際被災者が背負っていた搬送部材の落下を防止するため中途で２名の上下位置を入れ替えようとした際に上側に移動した被災者がバランスを崩し墜落に至ったもの。,17,その他の事業,1702,その他の事業,170209,その他の事業－その他,墜落、転落
73,11,12～13,トラックで高速道路を走行中、乗用車に後方から追突され、トラックが横転し、運転者が死亡した。,4,運輸交通業,403,道路貨物運送業,40301,一般貨物自動車運送業,交通事故（道路）
74,11,10～11,清掃や給仕の補助作業を行っていた被災者が、建物内階段の踊り場に倒れているところを発見されたもの。,14,接客娯楽業,1402,飲食店,140201,一般飲食店,墜落、転落
75,11,12～13,２ｔトラックの荷台上にて、積み込んだ荷へのシート掛け作業を終え、地面に降りようとしたところ、そのまま転落し、頭部を打って死亡した。なお、保護帽は着用していなかった。,15,清掃・と畜業,1501,清掃・と畜業,150103,その他の廃棄物処理業,墜落、転落
76,11,10～11,被災者は、工場内で建築用鉄骨（Ｈ鋼重量約４００キログラム長さ約５ｍ）をハッカーで玉掛けし天井クレーンで吊り上げ、作業架台に降ろした。被災者が、ハッカーをＨ鋼より外したところ、当該Ｈ鋼が被災者方向に作業架台より落下し、下敷きになった。救急により病院に搬送されたが死亡が確認された。,1,製造業,110,鉄鋼業,11001,製鉄・製鋼・圧延業,飛来、落下
77,11,4～5,被災者は、新聞配達を終え、バイクにて、事業場に向かっていたところ、信号機のない交差点で乗用車と出会頭に衝突し、全身を強く打って死亡した。,8,商業,802,小売業,80205,新聞販売業,交通事故（道路）
78,11,12～13,牛用飼料の製造・梱包・出荷を行うセンター内において、エアブロワーを使用して、被災者がベルトコンベヤのローラー周辺の掃除作業を行っていた時，同機械を停止させずに掃除作業を行い、回転するベルトコンベヤのローラーとコンベアベルトの間に両腕を挟まれ、出血死したもの。,1,製造業,117,その他の製造業,11709,その他の製造業－その他,はさまれ、巻き込まれ
79,11,10～11,災害発生当日は被災者Aと、Bの２名での作業であり、滝の正確な高さを計測するため、Bは被災者に滝下の岩盤にポールを立ててくるよう指示し、Aは滝側面の遊歩道を通って滝下へ向かった。岩盤に到着するとAから連絡が来ることになっていたが、連絡が来なかった。Bは岩盤に行ったが、Aはいなかったため、消防に連絡し、Aを捜索したところ、岩盤より上流の窪み（深さ約１ｍ）に沈んでいたAを発見した。,17,その他の事業,1702,その他の事業,170209,その他の事業－その他,おぼれ
80,11,18～19,集成材の縦継ぎ加工作業を終え、フィンガージョイント（材を横切り及び切削を行う機械）の周辺清掃のため、集塵ダクトで木屑等を吸引していたところ、当該機械の切削回転歯に左腕が接触し巻き込まれた。,1,製造業,104,木材・木製品製造業,10409,その他の木材・木製品製造業,はさまれ、巻き込まれ
81,11,12～13,被災者はブラケット足場上で、換気扇の取替え作業に伴う換気口清掃作業を行っていたものであるが、作業中に足場から墜落し、約１７．３メートル落下し、死亡したものである。,3,建設業,302,建築工事業,30209,その他の建築工事業,墜落、転落
82,11,21～22,被災者を含む２名の作業者が、トラックへの荷の積込み作業を行っていたところ、カゴ台車が倒れ、カゴ台車の上の荷物（重さ約８０ｋｇ×６個、長さ約３ｍ）が被災者に激突した。カゴ台車の中には荷物は無く、上記の荷物をカゴ台車のわくの上に乗せているのみであった。,4,運輸交通業,403,道路貨物運送業,40301,一般貨物自動車運送業,崩壊、倒壊
83,11,14～15,工場棟内で、被災者と同僚１名がロールボックスパレット（以下「台車」という。）で、住宅用ドアの部材となる合板を運ぶ作業を行っていたところ、当該台車が転倒し、被災者が下敷きになった。被災者は病院に緊急搬送されたものの、約１時間半後に「外傷性くも膜下出血」で死亡が確認された。,1,製造業,104,木材・木製品製造業,10409,その他の木材・木製品製造業,激突され
