label,sentence
7,牛舎のパドックにおいて、カッティングミキサー（自走式で飼料を混合、搬出する機械）で乳牛に給餌中、ミキサーのホッパー上部で餌（乾草、グラスサイレージ、飼料の混合物）が固まってしまったので、ホッパーのへり上で掻き落とす作業を行っていたときにホッパー内に転落し、稼働していたスクリュー部分に右足部分から巻き込まれた。
7,鉄溝工場内において水門巻上げ装置の製作で、円筒状巻上げドラム（長さ1.7m、直径2.3m、重さ約8.5t）にフランジ取付用リングを仮留め溶接するため、クラブトロリ式天井クレーン（30t）で主巻・補巻で左右を共吊りしているときに吊り荷が振れ、後方に仮置きしてあった別の円筒状巻上げドラム（長さ1m、直径1.4m、重さ約2t）の間に頭部を挟まれた。
1,二階建てアパートの屋根・外壁塗り替え工事で、棟木（屋根の頂上）側から北面の屋根を塗りながら降りてきたところ、高さ5.5mの軒先から墜落した。
1,自社の新築工場のエアー配管工事を２名で実施していて、一人がはしごに登り、もう一人がはしごを押さえていたが、配管を取付けるための部品が不足していたため一人が取りにいっている間に一人が床に転落した。
6,鉄板（長さ6m、巾1.5m、厚さ2cm、重量1.6t）を車両積載型トラッククレーン（２．９ｔ吊、リモコン操作）の荷台に載せるときに鉄板を斜めに吊ったため、鉄板が滑りトラックの荷台と鉄板との間に挟まれた。
4,プレヒーター下部の補修工事で、上部からの落下物による危害防止のための養生用の床の設置作業中、上部からキャスタブル（不定形耐火物）が落下してきて頭部に激突した。
6,バックホーによる擁壁周囲の埋め戻し作業中、付近で作業していた者が見当たらないので、もう1台のバックホーで埋め戻し箇所を掘り返したところ、1.5mの深さのところに埋まっていた。
18,枕木交換工事現場で列車の待避中、工事責任者が待避位置を離れ列車と接触した。
5,排水路の改修工事で、蓋付きのＵ字溝を布設するためドラグショベルで深さ約90cm、幅約140cm掘削し、床部に約10cmの生コンクリートを入れて均しているとき、コンクリートブロック製の擁壁（基礎部分も含め高さ約160cm、長さ約190ｃｍ）が倒れ、擁壁と掘削した道路の舗装部との間に頭部を挟まれた。
1,養護施設の新築工事現場において、休憩後、外壁の型枠取付作業を開始しようとした時に、足場の手すり（高さ82.5cm）と作業床の間の隙間から5.17m下に墜落した。
2,最大荷重2.5tのフォークリフトで、事業場敷地内の伐採した木の切り株をつり上げた状態で走行中、路肩段差（約23cm）のところでフォークリフトが転倒し、フォークリフトと地面との間に挟まれた。
17,コンクリートミキサー車で下り坂の緩い右カーブを走行中、土留め用のブロックに衝突し、その反動で反対車線のガードレールを突き破り約2m下の畑に転落した。
7,資材置場において１人で片付をしているときに、近くで作業中の移動式クレーン（2.52t）が倒れ、クレーンと地面との間に挟まれた。
7,製材用皮むき機の動力伝達部である歯車に右肩・右胸部を巻き込まれた。
17,顧客先から事業場に戻るため軽乗用車で走行中、緩やかなカーブで運転操作を誤り道路左側の電柱に衝突した。
17,トラック（7ｔの冷蔵冷凍車）に食肉を積み込んで片側１車線の道道を走行中、対向の農家のトラックと正面衝突した。
1,川から引水している工場角に設けてある木片焼却場の消火用パイプが詰まったため、パイプの取りかえ作業中に転落した。
1,採石現場においてタイヤショベルでクラッシャーのホッパーに砕石を投入作業中、通路を外れて高さ約7m、勾配約40度の斜面をショベルが後ろ向きに滑り落ち、運転席から投げ出された。
6,工場内で道路用コンクリート二次製品（重量約2ｔ）を移動するため、フォークリフト（最大荷重4ｔ）を使用して持上げる作業中、不安定なため2～3度バランスを取る操作を行っていたときに、合図作業を行っていた者に突然製品が倒れ掛かり頭部を強打した。
7,道路工事用の標識（約300kg）をフォークリフトで2ｔトラックの荷台に載せる作業中、標識の荷重が偏るので３名で支えていたところ、標識が倒れ2名は逃げたが1名が標識の下敷きとなった。
1,立体駐車場（18階建て、高さ31m）の搬器（左右17段）の点検作業のため、作業員4名が搬器（2×4m）に乗り込み最上階（18階）へリフトアップしたところ、上限リミッタスイッチが効かずにチェーンの結束金具がめり込んだので吊り金具を外そうとしたときに、4個所のうち3個所の金具が突然外れて搬器が傾き、1名が開口部（2×2m）から31ｍ下の地面に墜落した.
1,製材工場を倉庫に改造する作業で、警備会社から依頼された防犯用センサーを高さ3.7mのシャッター収納箱の下部に取り付けるため、高さ2mの脚立を使って作業中にコンクリートの土間に転落した。
2,4.5tトラックでパレット3枚を運び、それを降ろすためフォークリフトでパレットを挟んで後退しようとしたところ、フォークリフトがバランスをくずし横転し運転者が下敷きになった。
7,フォークリフトでフレコンバックに入ったタイル原料を原料投入口に投入中、足でマストの起伏レバーを踏んだため起伏したマストとヘッドガードの間に腹部を挟まれた。
6,道路工事現場において、ドラグ・ショベルに装備されているフックにワイヤーロープを引っかけてスクリューロッドを吊り上げ中、ロッドが落下してきて胸腹部を強打した。
17,朝刊を配達するため自転車で道路左側を走行中、後方から来た貨物自動車にはねられた。
1,社有車で別荘地内の水道施設を巡回点検中、ガードレールのない左カーブ地点の路面がわだち状に凍結していたため、スリップして約70m下の林に転落した。
17,年始挨拶のため会社の乗用車で走行中、凍結路面のためスリップし対向車線にはみ出してトラック後部に衝突し、横滑りとなってトラックの後続車の軽乗用車と衝突した。
4,ガス管埋設工事現場において、埋設管内の窒素ガスを抜くために帽甲（ぼうこう）と呼ばれる閉止蓋（金属製）と押し輪（帽甲を固定させる金具）とのボルト接合部をトルクレンチとモンキースパナを使って緩めているときに、ガス管内に封入されていた窒素ガスの圧力により帽甲と押し輪（約25kg）がガス管より外れ右脇腹部に当たった。
6,公園整備工事において、クレーン機能（最大吊上荷重1.7ｔ）付ドラグショベルにより自然石階段の施工作業中、石（71×61×50cm）が旋回したときに玉掛者に激突した。
7,耐震対策のための鋼板設置工事において、交通整理員が移動式クレーンの旋回範囲に立ち入り、クレーンのカウンターウエイトと鋼管手すりとの間に挟まれた。
5,下水道工事において、ドラグショベルで掘削した幅0.9m、深さ3.76mの溝内に入りジョレンで掘削面の整形作業中、片側の掘削面が崩れ生き埋めとなった。
6,帰宅のために製鉄所の構内道路を正門に向かって自転車で走行し交差点に差しかかったところ、交差点を東進してきた11ｔダンプに衝突された。
17,鉄骨を積んだ大型トラックで走行中、対向車線に入ったのちガードレールを突き破って3m下の道路に転落した。
17,国道の路肩にトラックを停車させて積み荷の点検作業を行っていたところ、後方より来た乗用車がトラックに追突し、乗用車とトラックとの間に挟まれた。
1,県道沿いの川に設けた作業台の解体作業で出た部材をケ－ブルクレ－ンで荷揚げ作業中、高さ95cmの手すりを超えて40m滑落した。
2,徒歩で新聞配達を行っていたところ、凍結した路面で転倒した。
18,河床の掘削工事において、4tトラックで土砂を運搬中に土砂が踏切の路線上に落ちたので、路線上の土砂を取り除くため遮断機が下りている踏切内に入り、特急列車にはねられた。
1,焼石灰製造ラインの夜間パトロール中に発見したベルトコンベアーのリターンローラーの修理をしていたときに、開口部から墜落した。
7,産業廃棄物再生処理工場において、破砕状況の監視業務中に異常が発見されたので操作盤の停止釦を順に押して全ての機械の稼動を停止させたが、そのときに二次破砕機の投入口から誤って破砕機の内部に転落し、惰性で回転中のローターに巻き込まれた。
1,屋根付き駐車場の鉄骨の建方工事において、高さ175cmのうまの上から2段目（高さ130cm）に載り、地上から280cmの高さにあるボルト締めの作業中にバランスを崩して頭から地面に墜落した。　
17,重油（約1000ℓ）をタンクローリー（最大運搬量14kl）に積んで国道を走行中、長い下り坂の路面が凍結していたためスリップし、陸橋から柵を突き破って約7m下の草地に転落した。
17,会社のワゴン車を運転して客先に製品を配達する途中、10tトラックと衝突した。
1,製錬所の貯鉱舎のスレート取替工事のため同僚の後についてスレート屋根上を移動中、スレートを踏み抜いて約14.5mの高さから墜落した。
7,移動式クレーンの旋回半径内のアウトリガー付近に立っていて、旋回してきた上部旋回体とアウトリガーとの間に挟まれた。
1,"工事現場において、ダンプトラック（2t）の荷台上のコンクリートブロック（質量約2t）をブレーカー（ドラグショベルのアタッチメントを交換したもの）で吊り上げ作業中、路肩からブレーカーごと約6.5m下に転落した。
　"
7,胸高直径約46cm、高さ約24.5mの杉をチェーンソーを使用して間伐作業中、伐倒木と地面との間に頭部を挟まれた。
6,土場にある丸太2本（直径24～30cm、長さ3.6m、質量70～80ｋｇ）をホイ－ルローダーで製材工場内に運び、工場の軒先付近で雪を落とすため地上から高さ約1.9mの位置でフォークを傾け丸太を落としたときに、丸太の下敷きとなった。
17,90ccのオートバイで新聞配達中、軽自動車と正面衝突した。
1,遊歩道の整備工事において、残土を不整地運搬車で搬送中（推定時速：8km）に路肩から約5m下に転落し、不整地運搬車から投げ出されてキャタピラと地面との間に頭を挟まれた。
1,鉄骨モルタル造建物の解体工事において、屋根のトタンをはがした後の下地材（木毛セメント板、厚さ20mm）上で鉄骨材をガス溶断する作業をしていて、次の溶断箇所へ移動中に下地材を踏み抜き、約5.7m下のコンクリート床へ頭部から墜落した。
90,公衆浴場の支配人が、男女2名に頭部を殴られたうえ、首を絞められ窒息死した。（男女2名は強盗殺人の疑いで逮捕）
17,営業活動ためライトバンで国道を走行中、路面凍結のため対向車線にはみ出してトラックと正面衝突した。
6,胸高直径28cmのカバの木を谷側に伐倒したところ、伐倒方向が予定よりずれて前方にあった胸高直径20cmのカエデの枝と幹の二股部にかかり木となり、そのときに伐倒木の元口が振られて伐倒木に激突された。
10,貯木場内の材木を徒歩により確認する作業中、水深2.6m、水温0度、氷の厚さ4～10cmの貯木場に転落し水死した。
1,倉庫から鋼材（コイル）をトラック荷台に積み込み、倉庫を出て荷物にシートを掛ける作業をしていたときに荷台から足を踏み外し、約1m下に背面から転落し後頭部を強打した。
6,伐倒した杉が、付近にあるから松にかかり木となったのにその処理をしないまま下に立ち入ったときに、かかり木が外れ直撃された。
11,スクラップヤードで、製紙用ロール（10ｔ）を電炉向けスクラップサイズ（1ｔ以下）にガス溶断（酸素＋ＬＰＧ）作業中、切断中のロールに下半身を挟まれ，ガスのホースからでていた火炎で頭部に火傷を受けた。
17,"貨物トラックで走行中、前方で乗用車、10tトラック、ライトバンの3台の玉突き事故があり、ブレーキをかけたが間に合わず停止中の10tトラック後部に追突した。・
（停車中の3台の車両の乗員は車両から離れて避難していたため負傷しなかった）"
1,ビル外壁補修工事に伴う足場組立作業中、足場上から約33.1m下の歩道（レンガ敷詰め）に墜落した。
1,資材置場において、搬送されてきた機器スクラップを車輌積載形トラッククレーン（つり上げ荷重2.93ｔ）で荷降ろしするため、荷台上で作業中に荷台後部のあおりに引っ掛かり、荷台（高さ1.1m）から転落した。
17,５人乗りバンで建設現場に向かう途中、高速道路のトンネル付近で事故により追い越し車線に停車していた大型トラックに気が付きブレーキを踏んだがスリップして追突し、同乗者2名が死亡した。
17,５人乗りバンで建設現場に向かう途中、高速道路のトンネル付近で事故により追い越し車線に停車していた大型トラックに気が付きブレーキを踏んだがスリップして追突し、同乗者2名が死亡した。
5,団地テレビ共同受信施設専用の円柱状の塔（長さ約8m、直径約13cm、地上高約6.6m）73本の撤去作業中、その内の1本の鉄塔が腐食により根元より折れ、円柱状の鉄塔と共に地面に叩き付けられた。
1,7階の外部に面した柱の型枠を解体するため、建築物の床の端部に設けられた手すりの上に乗って作業していて、22.5m下の地面に墜落した。
1,"地下鉄工事で掘削場所から排出された廃材を運搬等をする作業中、開口部下の掘削床部に転落した。
　"
12,都市ガスの供給管の撤去作業で、供給管の既設穴より２種類の袋を入れて空気を充填して膨張させて都市ガスを遮断し、本管と供給管のつなぎ目のパッキン及び供給管をはずしたところ、都市ガスが本管より流出し窒息死した。
12,都市ガスの供給管の撤去作業で、供給管の既設穴より２種類の袋を入れて空気を充填して膨張させて都市ガスを遮断し、本管と供給管のつなぎ目のパッキン及び供給管をはずしたところ、都市ガスが本管より流出し窒息死した。
1,農業用排水路築造工事において、昼休みで施工箇所から現場事務所兼休憩所へ戻るため、不整地運搬車（最大積載量4t）の荷台の最後部に立って乗車して移動していたところ、左カーブを曲がった時に高さ1.12mの荷台上から地面へ転落した。
17,夕刊配達のため原動機付き自転車で町道を走行中、十字路を右折したときに前方から来たダンプと出会い頭に衝突した。
10,激甚災害対策特別緊急河川工事で、ドラグショベルで川の中央部に土嚢を積む作業中，昼休憩のためにドラグショベルを左岸に移動させていたところ川の深みにはまりバランスを崩して転倒し、脱出できずに溺死した。
1,工場の一部改修工事で、アルミサッシュを取り外すため脚立（うま）を3つ並べ鋼製の足場板（長さ4ｍ、幅24cm）を架け渡し、その上に乗って、工具でサッシュ周囲の壁面の石膏板をはがしていたときに、高さ、1.87mのコンクリート床に墜落した。
17,配水管の移設工事の完了後、断水作業に伴う濁水処理確認のため道路上の消火栓バルブ脇で点検作業をしていたときに、下水道工事（他社施工）の埋め戻し用土砂をバック走行で搬入してきた4ｔダンプトラックに轢かれた。
17,貨物自動車（2ｔ）で自動車道を走行中、前方の貨物自動車（2ｔ）が渋滞で減速していることに気づくのが遅れ、あわてて右回避しようとしたが避けきれず、左助手席部分が前方車両の右後部に衝突し助手席の同乗者が即死した。
1,瓦葺の準備作業のため2階屋根に掛け渡した梯子を昇っていたときに、梯子がずれ約3mの高さから地上に墜落した。
1,ケーソン製作用枠組足場解体のため、枠組足場4列3段をクローラクレーンで吊り仮置場に移動し、足場に上がって玉掛用ワイヤロープを外し、クレーン運転者に巻き上げの合図を行ったところ、ワイヤロープが足場に引っ掛かって足場が転倒し頭部を強打した。
1,会社の所定休日で機械が停止している間を利用して7名で工場内の機械設備の点検作業中、サイロの間にある螺旋階段の手すりの間（高さ80cm、中さん無し）から約20m下の地面に墜落した。
1,ダム管理用道路の開設工事現場で、切り株（直径30cm、長さ50cm）を機体質量2.48tのドラグ・ショベルで吊り上げて旋回していたところ、バランスをくずしてドラグ・ショベルが転倒し、運転席から投げ出されて約28m下の谷へ転落した。
4,移動式クレーン（25ｔ）で鋼矢板（長さ9.5m、重さ約600kg）の吊り上げ作業中、玉掛け用シャックルから鋼矢板が外れて激突された。
17,9人が2台のワゴン車に分乗して建築現場に向う途中、乗用車3台による追突事故の手前で停車していたトラックに、ワゴン車の1台が追突した。
17,建設工事現場へ向かうため、会社のワゴン車に4名が同乗して自動車道を走行中、前方の追い越し車線にトレーラーが停車して他の乗用車の同乗者と殴り合いのけんかをしており、その停車中のトレーラーに追突した。（4名が死亡し、1名が重傷）　
17,建設工事現場へ向かうため会社のワゴン車に4名が同乗して、自動車道を走行中、前方の追い越し車線にトレーラーが停車して他の乗用車の同乗者と殴り合いのけんかをしており、その停車中のトレーラーに追突した。（4名が死亡し、1名が重傷）　
17,建設工事現場へ向かうため会社のワゴン車に4名が同乗して、自動車道を走行中、前方の追い越し車線にトレーラーが停車して他の乗用車の同乗者と殴り合いのけんかをしており、その停車中のトレーラーに追突した。（4名が死亡し、1名が重傷）　
17,建設工事現場へ向かうため会社のワゴン車に4名が同乗して、自動車道を走行中、前方の追い越し車線にトレーラーが停車して他の乗用車の同乗者と殴り合いのけんかをしており、その停車中のトレーラーに追突した。（4名が死亡し、1名が重傷）　
17,排気量90ccのバイクで郵便物の集配作業中、市道交差点で乗用車と出会い頭に衝突した。
1,工場軒下の鉄骨塗装作業のため、高所作業車の作業床より足場板を張り出し、その上で塗装作業を行っていたときに、3m下のコンクリート床に墜落した。
1,邸宅の屋根改修工事で1階屋根の野地板に防水シートを張る作業中、バランスを崩して約4m下のアスファルト路上に転落した。
4,地上14mの橋台で型枠の組立て作業中、型枠に仮差し込みしていたセパレーター（径12mm、長さ1m、重さ0.88kg）16本のうち座金の取付けが終わっていなかった1本が抜け落ちて、資材を取りに下を通行中の者のヘルメットを突き抜け前頭部に突き刺さった。　　
6,道路舗装工事の現場内で誘導員がロードスイーパー（道路清掃車）の後進運転を誘導したが、その必要なくなったと判断して誘導員が所定の誘導位置に戻ったときに、ロードスイーパーが仮区画線引きの作業をしていた者を轢いた。
17,公共下水道管渠布設工事現場で、交通整理員が進行してきた通行車両を止めようとしてその車に接触して反対車線に飛ばされ、反対車線を進行してきた車両にも接触した。
5,高速道路のトンネル掘削のため、坑口より約400mの地点で発破をかけずり取りが終了したが、切羽で肌落ちの危険を感じたので作業員に切羽に入らないよう職長が指示した後に1人が切羽右部に居て肌落ちした岩石に直撃された。
17,建設工事現場から社有車で会社に戻る途中の市道で追突事故を起こしたので、同乗していた者が後続車に事故を知らせるために道路に立っていたところ、後から走行して来たトラックがスリップしたため社有車とトラックとの間に挟まれた。
7,排水路改良工事現場において、一般車両及び工事用ダンプの誘導を行っていた警備員が、後進したバックホーのキャタピラに轢かれた。
7,築堤工事においてダンプ車（10ｔ）の誘導をしていた者が、誘導を終えて納入伝票をもらう為に誘導場所からダンプの前面に移動したときに、ダンプに残った土を完全に落とすために動かしたダンプ車の左前輪に頭部と頚部を轢かれた。
17,朝刊配達のためバイクで走行中、交差点付近で大型トラックを避けようとして転倒し、病院で受診後、翌日、翌々日と通常勤務をしたが、配達中に胸が苦しくなりバイクで転倒した。
16,食品加工工場新築現場の2階のサッシ枠をアーク溶接作業中、床と壁面の隙間から火種が1階の天井に落下し、保冷断熱のために1階天井全面に吹き付けられていた発泡ウレタンが燃えて火災となり、2階まで広がったため2階の中央部に居た者が焼死した。
1,道路整備工事現場において、整地作業に使用するロードローラーを取りに行き戻ってくる途中、誤って道路整備脇の水路に重機ごと転落してロードローラーの下敷きになり、水路に深さ30cmほどの水があったため溺死した。
5,かかり木の処理を行うため、かかられた立木（胸高直径33cm）を伐倒したところ、かかり木（胸高直径30cm）が倒れその下敷きになった。
5,民有林内で杉の間伐作業中、伐倒した木がかかり木になったまま別の木を伐倒して枝払いを行っていたところ、かかり木が倒れ頭部に激突した。
1,工場で加工された鉄骨の梁材（長さ6.5m、重さ1.1t）を塗装するため、天井クレーン（つり上げ荷重2.8ｔ）でつり上げてトラックの荷台に積み込んでいるときに、荷台に置いた梁材が倒れて荷台上で玉掛作業をしていた者が地上に落下し、梁材の下敷きになった。
6,牛舎内で牛に激突された。
2,採石作業現場において、四輪駆動のトラクターショベルを運転して傾斜角23度の斜面を移動（下降）中、バランスを崩して斜面上を約30m（高さ約12m）転落した。
7,10tの貨物自動車にプラスチック容器を積み込んで搬送し、容器を降ろし公道に車を移動したときに、公道ガードレールと同車左側あおりとの間に首を挟まれた。
4,4ｔトラックにほ場整備工事用の塩ビ管（直径50cm、長さ430cm、質量150kg）12本を積んで現場に到着後、塩ビ管6本をワイーロープで玉掛けして移動式クレーンで吊り上げたところ、塩ビ管3本が滑り落ち、その内の1本がトラックのボディで跳ね返って胸に激突した。
17,6ｔトラックに市場から青果物を積んで自動車道を走行中、追い越し車線を走行してきた10ｔトラックが車体右後部に接触し、はずみで6tトラックが横転した。
17,高所作業車2台でケーブルテレビの架線工事中、後方の高所作業車がアウトリガーを出したまま前方の高所作業車の前へ出ようと追い抜いた時に、前方の高所作業車の右後方で作業を行っていた者にアウトリガーが激突し、転倒したところへ後方の高所作業車の左後輪で頭部を轢いた。
1,新規入場者に1階から上の階へ順に現場案内を行った後、5階北側のベランダの状況確認中に墜落した。
1,産業廃棄物処理施設工事において、床板取付け作業中にチェーンブロックで仮吊り（1点吊り）されていた床板上に乗ったため、床板が傾いてコンクリート土間に墜落した。
1,物流倉庫トラックヤード庇部分の塗装工事の品質・進捗状況管理のため、庇の上で写真を撮影していたときに、誤って庇に設けてある明かり取りの天窓（トップライト）のガラスを踏み抜き、8.5m下の地上部分に墜落した。
6,国道の歩道整備工事において、3次下請の労働者が運転する大型特殊自動車（26t）が後退して警備員に激突した。
5,工場内材料置場において、鉄製のラックに立て掛けられたコイル状の金属材料（幅22mm、直径100cm、質量約108.5kg)が15個バンドで結束されたもの（総質量1630kg）を近くのプレス機械のところへ運搬するためバンドを切断したところ、金属材料が倒れてラックと材料のと間に首が挟まれた。
7,ショットブラストでドラム缶に蓋をするためのバンドを研摩するため、ショットブラスト内に上半身を入れてバンドを置いていたところ、ショットブラスト入口の空圧扉が下降して上肢部が挟まれた。
17,10tトラックでアスファルト鋼材を廃材置き場に降ろした後に国道を走行中、上がったままの荷台が道路標識に衝突し、トラックが横転した。
1,天井クレーン移設のため、移動式クレーンを用いて子フックで吊上げたが上がらなかったので親フックで吊上げることとし、ガーターから上の大梁に乗って子フックの格納作業中に墜落した。
17,二人で集荷センターでそれぞれのトラックに荷物を積み込み、配達先であるスーパーへ向かう途中、信号待ちで停車していた同僚の車両へ追突した。
7,大型トラックを運転して製品等を運送途中、上り勾配の道路路側帯に駐車して車外に出ていたところ、トラックが後進を始めたのでトラックを追いかけ止めようとして運転席側のドアと近くにあった立木の間に挟まれた。
1,7階建マンション外装工事において、7階部分に設けられたつり足場（隣接した2つの建屋の屋上パラペットに渡された単管から吊り下げられたもの）の解体を行うため、足場の作業床を取り外したところ足場が振れたため、バランスを崩して約19m下の地面に墜落した。
7,食材を簡易リフトで2階に運ぶため2階にあった搬器を呼んだところ、2階に降ろすべき「ご飯」が載っていたので、再度搬器を2階に移動する操作をした後、自分も簡易リフトで2階に上がるため乗り込もうとして搬器と扉枠との間に挟まれた。
7,納豆工場において、煮豆入りのトレーを醗酵室に運搬するために使用する台車の軌道付近にいて、軌道上を走行する台車（一部トレー搭載済み、推定質量約2ｔ）とベルトコンベアのラックの支柱との間に挟まれた。
10,事業場の岸壁から約15m離れたの海面に浮かんでいるところを同僚が発見し、消防隊が救助しようとしたがろ海中に沈み、2日後に水死体で発見された。
1,自動車道の高架橋工事現場で、床版コンクリート打設作業で付着した鋼桁のノロ（コンクリートの汁）の水洗い作業準備中に、約27m下のコンクリート道路上に墜落した。
17,自転車で朝刊の配達中、農道において転倒して胸を強打し3日後に死亡した。
4,鉄骨部材（質量約600kg）のメッキ処理作業で、天井クレーンで鉄骨部材を吊り上げてメッキ槽に投入する際、部材の確認をしようと吊られている荷の下に入ったところ、シャックルが外れたため吊り荷の鉄骨部材が落下してきた。
1,採石場の切羽近くにおいて、ブル・ドーザーを運転して「ずり」を押していたところ、14m下の段へブルごと転落し、さらにその勢いで60m下の崖下に転落し「ずり」に埋まった。
1,寺の建設工事（SRC1階建て、最高高さ55m、軒の高さ32m）において、天井先端化粧パイプ養生材の撤去を行うため足場の昇降設備を降りていたときに、枠組み足場の交差筋交いの隙間（高さ15.6m）から墜落した。
17,軽四輪車でモップ等の清掃用品をレンタルの客先に配送中、信号の無い交差点で右折しようとしたところに左からきた4tトラックと衝突した。
17,油圧重機部品をトラックに積み国道を走行中、赤信号で止まっていたトラックに追突した。
7,車両系建設機械（機体質量380kgのドラグショベル）で橋梁下の土砂を掘削していたときに、橋梁の主桁と車両系建設機械との間に胸部を挟まれた。
6,用水路上を歩道にするため、既設水路の上に敷くコンクリート製床板2枚（約700kg）をドラグショベルに吊り下げて移動していたところドラグショベルが横転し、近くにいた者が車体に押されて水路内に転落した。
17,事業場から作業場所へ軽トラックで走行中、道路渋滞で停止していたところに、対向車線を後方から追い抜いてきたダンプトラック（10t）に車体右後部を追突された。
1,道路防災工事で山側法枠部分の張出足場の解体中、足場材を地上に降ろすために法枠に沿って設けられた単管足場に乗り上から手渡しで降ろす作業を行っていたときに2.37m下に墜落した。
17,4ｔトラックを運転して走行中、大型トラックがセンターラインを超えて来たため正面衝突した。
